Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-08-31,Angers,Rennes,2,2,1,7,M Bollengier
2025-08-31,Monaco,Strasbourg,2,2,6,5,B Bastien
2025-08-31,Le Havre,Nice,1,4,0,5,J Brisard
2025-08-30,Lorient,Lille,3,3,3,8,R Lissorgue
2025-08-30,Nantes,Auxerre,1,3,3,9,S Frappart
2025-08-31,Lyon,Marseille,2,3,9,4,F Letexier
2025-08-31,Paris FC,Metz,1,2,14,6,J Stinat
2025-08-29,Lens,Brest,1,4,15,1,A Kherradji
2025-08-30,Toulouse,Paris SG,1,0,5,7,E Wattellier
2025-09-13,Auxerre,Monaco,4,6,5,8,R Lissorgue
2025-09-14,Lille,Toulouse,2,5,7,6,J Stinat
2025-09-14,Metz,Angers,0,1,4,3,B Millot
2025-09-13,Nice,Nantes,2,0,7,4,G Paradis
2025-09-12,Marseille,Lorient,3,3,10,0,T Léonard
2025-09-14,Paris SG,Lens,1,2,4,3,J Pignard
2025-09-14,Strasbourg,Le Havre,3,2,4,3,W Delajod
2025-09-14,Brest,Paris FC,0,4,6,1,B Dechepy
2025-09-14,Rennes,Lyon,2,3,5,4,R Buquet
2025-09-21,Monaco,Metz,1,0,4,5,S Frappart
2025-09-21,Auxerre,Toulouse,2,6,3,4,M Bollengier
2025-09-21,Le Havre,Lorient,3,6,6,2,A Kherradji
2025-09-20,Nantes,Rennes,3,1,4,4,M Vernice
2025-09-22,Marseille,Paris SG,3,1,5,3,J Brisard
2025-09-19,Lyon,Angers,2,2,7,4,C Turpin
2025-09-21,Paris FC,Strasbourg,1,5,4,2,F Letexier
2025-09-20,Lens,Lille,1,3,4,10,E Wattellier
2025-09-20,Brest,Nice,1,3,2,7,B Bastien
2025-09-28,Angers,Brest,1,1,11,4,W Delajod
2025-09-28,Metz,Le Havre,2,2,4,6,G Paradis
2025-09-28,Nice,Paris FC,1,1,5,5,A Kherradji
