Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-09-20,Augsburg,Mainz,1,3,6,6,D Schlager
2025-09-20,Hamburg,FC Heidenheim,5,1,1,12,F Exner
2025-09-20,RB Leipzig,FC Koln,1,1,9,5,B Brand
2025-09-20,Werder Bremen,Freiburg,5,2,2,0,T Gerach
2025-09-20,Hoffenheim,Bayern Munich,1,2,5,5,R Hartmann
2025-09-19,Stuttgart,St. Pauli,0,2,8,4,S Stegemann
2025-09-27,FC Heidenheim,Augsburg,1,6,3,2,T Welz
2025-09-28,FC Koln,Stuttgart,2,2,8,8,M Jöllenbeck
2025-09-28,Union Berlin,Hamburg,2,3,5,3,D Aytekin
2025-09-27,Mainz,Dortmund,3,1,7,5,T Reichel
2025-09-27,M'gladbach,Ein Frankfurt,1,2,4,6,F Exner
2025-09-26,Bayern Munich,Werder Bremen,2,0,7,6,F Willenborg
2025-09-27,St. Pauli,Leverkusen,3,5,13,1,M Petersen
2025-09-28,Freiburg,Hoffenheim,2,1,6,8,B Dankert
2025-09-27,VfL Wolfsburg,RB Leipzig,2,2,6,11,R Braun
2025-10-04,Leverkusen,Union Berlin,1,3,4,4,C Dingert
2025-10-04,Dortmund,RB Leipzig,1,3,7,7,S Stegemann
2025-10-05,M'gladbach,Freiburg,3,1,4,1,D Schlager
2025-10-04,Ein Frankfurt,Bayern Munich,1,2,4,3,D Siebert
2025-10-04,Augsburg,VfL Wolfsburg,2,1,10,5,B Brand
2025-10-05,Hamburg,Mainz,2,3,1,4,R Hartmann
2025-10-04,Werder Bremen,St. Pauli,3,1,4,0,S Storks
2025-10-03,Hoffenheim,FC Koln,3,1,11,6,F Zwayer
2025-10-05,Stuttgart,FC Heidenheim,1,1,1,1,T Stieler
2025-10-18,FC Heidenheim,Werder Bremen,1,3,12,2,P Ittrich
2025-10-18,FC Koln,Augsburg,2,2,5,2,T Gerach
2025-10-17,Union Berlin,M'gladbach,5,3,6,6,T Reichel
2025-10-18,Mainz,Leverkusen,4,4,2,3,F Exner
2025-10-18,Bayern Munich,Dortmund,1,3,4,3,B Dankert
2025-10-19,St. Pauli,Hoffenheim,1,3,9,7,Sven Jablonski
2025-10-18,RB Leipzig,Hamburg,3,1,3,5,T Welz
2025-10-19,Freiburg,Ein Frankfurt,2,3,3,1,D Aytekin
2025-10-18,VfL Wolfsburg,Stuttgart,1,1,3,8,F Badstübner
2025-10-26,Leverkusen,Freiburg,1,3,2,3,H Osmers
2025-10-25,Dortmund,FC Koln,2,2,17,2,B Brand
2025-10-25,M'gladbach,Bayern Munich,1,3,1,8,S Stegemann
2025-10-25,Ein Frankfurt,St. Pauli,0,1,1,3,R Braun
2025-10-25,Augsburg,RB Leipzig,3,1,2,3,D Siebert
2025-10-25,Hamburg,VfL Wolfsburg,1,5,11,1,M Petersen
