Date,HomeTeam,AwayTeam,HomeBookings,AwayBookings,HomeCorners,AwayCorners,Referee
2025-04-05,Mallorca,Celta,3,0,4,2,R De Burgos Bengoetxea
2025-04-06,Real Valladolid,Getafe,4,1,3,4,A Quintero González
2025-04-05,Girona,Alaves,1,5,5,3,A Muñíz Ruiz
2025-04-04,Vallecano,Espanol,2,2,8,4,A Hernández Hernández
2025-04-13,Ath Bilbao,Vallecano,4,3,7,1,A Cordero Vega
2025-04-14,Ath Madrid,Real Valladolid,1,1,5,1,I Díaz de Mera Escuderos
2025-04-13,Betis,Villarreal,0,4,5,5,J Pulido Santana
2025-04-12,Getafe,Las Palmas,1,2,3,2,Javier Alberola Rojas
2025-04-13,Alaves,Real Madrid,5,5,4,4,C Soto Grado
2025-04-12,Leganés,Barcelona,2,1,4,8,F Hernández Maeso
2025-04-13,Osasuna,Girona,2,1,4,4,P González Fuertes
2025-04-12,Sociedad,Mallorca,3,1,8,2,J Munuera Montero
2025-04-11,Valencia,Sevilla,3,2,3,3,J Sánchez Martínez
2025-04-12,Celta,Espanol,2,2,13,5,M Busquets Ferrer
2025-04-19,Barcelona,Celta,2,2,4,1,M Melero López
2025-04-19,Vallecano,Valencia,3,1,5,2,A Quintero González
2025-04-18,Espanol,Getafe,0,3,6,8,R De Burgos Bengoetxea
2025-04-20,Real Madrid,Ath Bilbao,1,2,14,1,J Martínez Munuera
2025-04-19,Las Palmas,Ath Madrid,3,1,4,4,V García Verdura
2025-04-21,Girona,Betis,3,2,8,9,A Hernández Hernández
2025-04-20,Real Valladolid,Osasuna,1,1,5,2,J Gil Manzano
2025-04-20,Villarreal,Sociedad,4,1,10,4,G Cuadra Fernández
2025-04-20,Sevilla,Alaves,2,2,3,6,M Ortiz Arias
2025-04-19,Mallorca,Leganés,2,1,4,4,A Muñíz Ruiz
2025-04-23,Ath Bilbao,Las Palmas,1,3,3,3,I Díaz de Mera Escuderos
2025-04-24,Ath Madrid,Vallecano,0,2,6,3,P González Fuertes
2025-04-22,Barcelona,Mallorca,0,1,13,2,M Ortiz Arias
2025-04-24,Betis,Real Valladolid,1,0,4,4,F Hernández Maeso
2025-04-23,Celta,Villarreal,2,2,6,3,Javier Alberola Rojas
2025-04-23,Getafe,Real Madrid,2,1,4,4,J Sánchez Martínez
2025-04-24,Osasuna,Sevilla,4,3,4,4,A Cordero Vega
2025-04-23,Alaves,Sociedad,3,5,6,6,M Busquets Ferrer
2025-04-24,Leganés,Girona,5,2,4,5,J Munuera Montero
2025-04-22,Valencia,Espanol,1,1,6,4,J Pulido Santana
2025-05-05,Girona,Mallorca,0,2,5,2,M Melero López
2025-05-03,Las Palmas,Valencia,1,1,9,5,R De Burgos Bengoetxea
2025-05-03,Alaves,Ath Madrid,3,2,3,5,J Martínez Munuera
2025-05-04,Espanol,Betis,2,0,3,7,G Cuadra Fernández
2025-05-04,Sociedad,Ath Bilbao,1,2,7,3,C Soto Grado
2025-05-03,Real Valladolid,Barcelona,3,2,4,8,A Muñíz Ruiz
2025-05-04,Real Madrid,Celta,2,1,4,6,J Gil Manzano
2025-05-02,Vallecano,Getafe,3,3,7,3,V García Verdura
2025-05-03,Villarreal,Osasuna,4,1,2,8,A Quintero González
2025-05-04,Sevilla,Leganés,4,5,8,2,A Hernández Hernández
2025-05-10,Ath Madrid,Sociedad,0,1,3,3,J Sánchez Martínez
2025-05-11,Barcelona,Real Madrid,4,3,10,2,A Hernández Hernández
2025-05-11,Betis,Osasuna,3,2,6,7,M Ortiz Arias
2025-05-10,Celta,Sevilla,1,2,3,6,P González Fuertes
2025-05-10,Girona,Villarreal,2,3,5,3,I Díaz de Mera Escuderos
2025-05-10,Mallorca,Real Valladolid,2,1,5,10,J Pulido Santana
2025-05-09,Las Palmas,Vallecano,2,3,8,8,F Hernández Maeso
2025-05-10,Valencia,Getafe,3,5,2,6,A Cordero Vega
2025-05-11,Ath Bilbao,Alaves,1,1,9,2,J Munuera Montero
2025-05-11,Leganés,Espanol,2,2,3,8,Javier Alberola Rojas
2025-05-14,Alaves,Valencia,4,3,9,4,J Gil Manzano
2025-05-15,Espanol,Barcelona,5,1,3,3,C Soto Grado
2025-05-15,Getafe,Ath Bilbao,1,0,2,5,G Cuadra Fernández
2025-05-15,Osasuna,Ath Madrid,1,1,3,5,M Melero López
2025-05-15,Vallecano,Betis,1,3,10,7,P González Fuertes
2025-05-13,Sociedad,Celta,3,1,14,1,V García Verdura
2025-05-13,Real Valladolid,Girona,0,0,6,4,A Quintero González
2025-05-14,Real Madrid,Mallorca,0,3,26,0,Javier Alberola Rojas
2025-05-13,Sevilla,Las Palmas,6,6,4,2,J Martínez Munuera
2025-05-14,Villarreal,Leganés,1,1,3,6,R De Burgos Bengoetxea
2025-05-18,Ath Madrid,Betis,1,1,7,4,A Cordero Vega
2025-05-18,Barcelona,Villarreal,2,0,11,3,J Munuera Montero
2025-05-18,Celta,Vallecano,2,3,9,2,J Pulido Santana
2025-05-18,Valencia,Ath Bilbao,3,1,5,3,A Muñíz Ruiz
2025-05-18,Mallorca,Getafe,2,2,3,4,A Hernández Hernández
2025-05-18,Sociedad,Girona,1,3,9,2,M Ortiz Arias
2025-05-18,Sevilla,Real Madrid,2,1,1,7,M Busquets Ferrer
2025-05-18,Real Valladolid,Alaves,0,2,5,9,I Díaz de Mera Escuderos
2025-05-18,Las Palmas,Leganés,2,2,9,2,J Sánchez Martínez
